,Name,Calories,Carbs,Fats,Proteins,Fiber,Cholestrol,Sugar
0,"Indianlife, Chevdo",140,12.0,9.0,4.0,2.0,0,3.0
1,Naan,160,24.0,4.5,4.0,2.0,0,0
2,Papadums,25,4.0,0.0,2.0,2.0,0,1
3,"Indianlife, Channadal",150,11.0,11.0,4.0,3.0,0,2.0
4,"Indianlife, Garlic Naan",270,49.0,6.0,7.0,2.0,0,2
5,"Indianlife, Masala Chips",180,15.0,12.0,3.0,1.0,0,0
6,"Spicy Traditional Indian Crackers, Indian Puppodums",80,13.0,0.0,6.0,4.0,0,0
7,"Indianlife, Whole Wheat Naan",260,45.0,6.0,9.0,8.0,0,1
8,"Indianfile, Coriander & Herbs Naan",260,46.0,5.0,7.0,2.0,0,2.0
9,"Indianlife, Hot Masala Peas",140,4.0,14.0,1.0,1.0,0,1
10,Tortilla,340,56.0,9.0,7.0,2.0,0,0
11,Samosa Chips,140,17.0,7.0,3.0,1.0,0,10
12,Indian Cooking Sauce,150,15.0,10.0,2.0,2.0,0,2.0
13,Masala Peas,140,4.0,14.0,1.0,1.0,0,3
14,"Mattar Paneer, Indian",320,54.0,8.0,11.0,6.0,20.0,8
15,Tamarind Chutney,25,7.0,0.0,0.0,0.0,0,6
16,Indian Samosa Wrap,250,35.0,9.0,8.0,4.0,0,2.0
17,Authentic Indian Corn,90,19.0,1.0,2.0,2.0,0,0
18,Popcorn,150,14.0,9.0,2.0,2.0,5.0,2.0
19,Indian Daal,319,36.9,9.9,10.6,20.1,0,0
20,Madras Chicken Indian,518,17.5,28.0,38.5,3.5,0,0
21,Popcorn,130,21.0,4.5,1.0,2.0,0,7.0
22,Hot Punjabi Mix,140,8.0,11.0,4.0,2.0,0,1
23,Popcorn,160,13.0,12.0,2.0,1.0,5.0,0
24,Indian Channa Masala,165,17.9,6.0,6.0,4.5,0,0
25,Indian Simmer Sauce Coconut Curry,100,8.0,7.0,1.0,1.0,0,4.0
26,Popcorn,130,21.0,5.0,1.0,2.0,0,6.0
27,Popcorn,140,20.0,6.0,1.0,1.0,5.0,9.0
28,Indian Corn Candy,140,35.0,0.0,0.0,0.0,0,27
29,Indian Daal Curry,319,36.9,9.9,10.6,20.1,0,0
30,Popcorn,30,20.0,3.5,3.0,4.0,0,0
31,Candy,150,37.0,0.0,0.0,0.0,0,0
32,Popcorn,130,18.0,6.0,3.0,3.0,0,0
33,Popcorn,130,21.0,5.0,1.0,2.0,0,9.0
34,Daal Indian Meal,264,24.0,12.0,9.0,0.0,0,0
35,Indian Diced Tomatoes,35,7.0,0.0,1.0,1.0,0,0
36,"Popcorn, Indiana, Drizzlecorn, Popcorn, Chocolate Peanut Butter",140,19.0,7.0,2.0,1.0,0,5.0
37,Indian Dal (Lentil Soup) Spice Mix,10,1.0,0.0,1.0,1.0,0,11.0
38,Mild Indian Curry Sauce,70,3.0,6.0,0.0,0.0,0,3
39,Plain Traditional Indian Crackers,80,14.0,0.0,7.0,3.0,0,0
40,"Indian Puppodums, Spicy",80,13.0,0.0,6.0,4.0,0,0
41,"Indian Puppodums, Plain",80,14.0,0.0,7.0,3.0,0,0
42,"Flambeau Sauce, West Indian",0,0.0,0.0,0.0,0.0,0,0
43,Indian Gooseberry Organic Amla Powder,15,4.0,0.0,0.0,3.0,0,0
44,Indian Butter Chicken Indian Scratch Kit,65,8.0,3.0,2.0,0.0,0,3
45,Popcorn Indiana Gourmet Aged White Cheddar Kettlecorn,160,12.0,11.0,3.0,2.0,5,1
46,Balti Indian Style Sauce,154,22.0,4.4,2.2,0.0,0,0
47,Korma Indian Style Sauce,150,12.3,10.1,1.1,1.1,0,0
48,Indian Chicken Korma,575,66.0,23.0,25.0,4.6,58.0,0
49,Indian Chicken Madras,420,48.0,15.0,24.0,3.0,70,0
50,Indian Curry Sauce,20,4.0,0.0,0.0,0.0,0,0
51,Balti Chicken Tikka Indian,427,17.5,21.0,38.5,0.0,0,0
52,Jalfrezi Vegetable Eastern Indian,208,8.0,12.0,12.0,4.0,0,0
53,Indian Style Selection Samosas,50,5.7,2.7,1.1,0.6,0,0
54,Indian Chicken Biryani,520,81.0,12.0,23.0,3.0,40.0,0
55,Indian Naan Flatbread,190,33.0,3.5,6.0,1.0,5.0,0
56,Pakoras Mixed Vegetables,120,17.0,4.5,3.0,2.0,0,4
57,Indian Lentil Stew,140,28.0,1.0,6.0,4.0,0,3
58,Indian Style Easy-Rice,220,42.0,3.0,6.0,2.0,0,1
59,Indian Potato Snack,290,21.0,21.0,4.0,0.0,0,0
60,Authentic Indian Noodle,310,43.0,13.0,6.0,2.0,0,4
61,Indian Tonic Water,70,18.0,0.0,0.0,0.0,0,18
62,"Quinoa, Indian Spice",202,15.0,9.0,11.0,7.0,1,3.0
63,"SprouTofu, Indian Curry",130,5.0,6.0,13.0,0.0,0,2
64,Indian Mattar Paneer,370,54.0,11.0,13.0,6.0,20,8
65,Indian Palak Paneer,300,38.0,11.0,12.0,6.0,15.0,5.0
66,Indian Mattar Paneer,370,54.0,11.0,13.0,6.0,20,8
67,Paneer Indian Cheese,90,0.5,8.0,6.0,0.0,25.0,0
68,Indian Rice,177,39.0,0.0,4.3,0.5,0,0
69,Traditional Indian Roti,130,19.0,3.5,5.0,0.0,0,2
70,"Indian Cheese, Paneer",90,0.5,8.0,6.0,0.0,25.0,0
71,Bacon Tocino,80,0.0,7.0,5.0,0.0,15,0
72,Kettlecorn,92,15.0,3.5,1.0,1.0,0,4
73,Fit Popcorn,80,11.0,4.0,1.0,2.0,0,0
74,Indian Tonic Water,18,4.8,0.0,0.0,0.0,0,4.8
75,Indian Corn candy,140,36.0,0.0,0.0,0.0,0,0
76,"Papadums, Plain",25,4.0,0.0,2.0,2.0,0,0
77,Kettlecorn Popcorn,130,21.0,5.0,1.0,2.0,0,6
78,Chia Wrap,290,45.0,8.0,8.0,5.0,0,1
79,"Naan, Whole Wheat",260,45.0,6.0,9.0,8.0,0,1
80,Red Grapefruit,60,15.0,0.0,1.0,2.0,0,11
81,Khaman,160,14.0,10.0,4.0,3.0,0,1
82,Indian Grain Bread,100,19.0,1.0,3.0,1.0,0,3
83,Naan Northern Indian Bread,356,56.2,8.8,10.0,1.2,0,0
84,Chicken Fillets Indian Style,224,8.0,8.0,26.0,2.0,0,0
85,Indian Basmati Rice,179,39.0,0.5,4.2,0.5,0,0
86,Tandoori Indian Prawns Bhuna,152,8.0,8.0,10.0,2.0,0,0
87,Masala Peas Snack Mix,140,4.0,14.0,1.0,1.0,0,2
88,Spicy Honey Mustard,150,16.0,9.0,1.0,2.0,0,7.0
89,Indian Veggie Masala Entree,380,62.0,9.0,11.0,10.0,15,14
